#t MKKK MKKK_P MKK MKK_P MKK_PP MAPK MAPK_P MAPK_PP 
##CONCENTRATIONS
2.09 88.0645 11.9355 280.089 10.2996 9.61187 279.935 10.2734 9.79116 
2.1 88.0553 11.9447 280.089 10.301 9.61016 279.935 10.2747 9.79016 
2.11 88.046 11.954 280.089 10.3025 9.60845 279.935 10.2759 9.78916 
2.12 88.0368 11.9632 280.089 10.304 9.60674 279.935 10.2772 9.78816 
2.13 88.0275 11.9725 280.089 10.3055 9.60503 279.934 10.2784 9.78717 
2.14 88.0183 11.9817 280.09 10.307 9.60332 279.934 10.2797 9.78617 
2.15 88.009 11.991 280.09 10.3085 9.60161 279.934 10.2809 9.78517 
2.16 87.9998 12.0002 280.09 10.31 9.59991 279.934 10.2822 9.78417 
2.17 87.9905 12.0095 280.09 10.3115 9.5982 279.933 10.2834 9.78318 
2.18 87.9812 12.0188 280.09 10.313 9.5965 279.933 10.2846 9.78218 
2.19 87.972 12.028 280.091 10.3145 9.5948 279.933 10.2859 9.78118 
2.2 87.9627 12.0373 280.091 10.316 9.5931 279.933 10.2871 9.78018 
2.21 87.9535 12.0465 280.091 10.3175 9.5914 279.932 10.2884 9.77918 
2.22 87.9442 12.0558 280.091 10.319 9.5897 279.932 10.2896 9.77819 
2.23 87.935 12.065 280.091 10.3205 9.58801 279.932 10.2908 9.77719 
2.24 87.9257 12.0743 280.092 10.322 9.58631 279.932 10.2921 9.77619 
2.25 87.9165 12.0835 280.092 10.3235 9.58462 279.931 10.2933 9.77519 
2.26 87.9072 12.0928 280.092 10.325 9.58293 279.931 10.2945 9.7742 
2.27 87.8979 12.1021 280.092 10.3265 9.58124 279.931 10.2958 9.7732 
2.28 87.8887 12.1113 280.092 10.328 9.57955 279.931 10.297 9.7722 
2.29 87.8794 12.1206 280.093 10.3295 9.57786 279.931 10.2983 9.7712 
2.3 87.8702 12.1298 280.093 10.331 9.57617 279.93 10.2995 9.77021 
2.31 87.8609 12.1391 280.093 10.3325 9.57449 279.93 10.3007 9.76921 
2.32 87.8517 12.1483 280.093 10.3341 9.5728 279.93 10.302 9.76821 
2.33 87.8424 12.1576 280.093 10.3356 9.57112 279.93 10.3032 9.76721 
2.34 87.8331 12.1669 280.093 10.3371 9.56944 279.929 10.3044 9.76622 
2.35 87.8239 12.1761 280.094 10.3386 9.56776 279.929 10.3057 9.76522 
2.36 87.8146 12.1854 280.094 10.3401 9.56608 279.929 10.3069 9.76422 
2.37 87.8054 12.1946 280.094 10.3416 9.56441 279.929 10.3081 9.76322 
2.38 87.7961 12.2039 280.094 10.3431 9.56273 279.928 10.3093 9.76223 
2.39 87.7869 12.2131 280.094 10.3446 9.56106 279.928 10.3106 9.76123 
2.4 87.7776 12.2224 280.094 10.3461 9.55939 279.928 10.3118 9.76023 
2.41 87.7684 12.2316 280.095 10.3476 9.55771 279.928 10.313 9.75923 
2.42 87.7591 12.2409 280.095 10.3491 9.55604 279.928 10.3143 9.75824 
2.43 87.7498 12.2502 280.095 10.3507 9.55438 279.927 10.3155 9.75724 
2.44 87.7406 12.2594 280.095 10.3522 9.55271 279.927 10.3167 9.75624 
2.45 87.7313 12.2687 280.095 10.3537 9.55104 279.927 10.3179 9.75524 
2.46 87.7221 12.2779 280.095 10.3552 9.54938 279.927 10.3192 9.75425 
2.47 87.7128 12.2872 280.096 10.3567 9.54771 279.926 10.3204 9.75325 
2.48 87.7036 12.2964 280.096 10.3582 9.54605 279.926 10.3216 9.75225 
2.49 87.6943 12.3057 280.096 10.3597 9.54439 279.926 10.3228 9.75126 
2.5 87.6851 12.3149 280.096 10.3613 9.54273 279.926 10.3241 9.75026 
2.51 87.6758 12.3242 280.096 10.3628 9.54108 279.925 10.3253 9.74926 
2.52 87.6665 12.3335 280.096 10.3643 9.53942 279.925 10.3265 9.74826 
2.53 87.6573 12.3427 280.096 10.3658 9.53776 279.925 10.3277 9.74727 
2.54 87.648 12.352 280.097 10.3673 9.53611 279.925 10.3289 9.74627 
2.55 87.6388 12.3612 280.097 10.3688 9.53446 279.925 10.3302 9.74527 
2.56 87.6295 12.3705 280.097 10.3704 9.53281 279.924 10.3314 9.74428 
2.57 87.6203 12.3797 280.097 10.3719 9.53116 279.924 10.3326 9.74328 
2.58 87.611 12.389 280.097 10.3734 9.52951 279.924 10.3338 9.74228 
2.59 87.6018 12.3982 280.097 10.3749 9.52786 279.924 10.335 9.74129 
2.6 87.5925 12.4075 280.097 10.3764 9.52622 279.923 10.3363 9.74029 
2.61 87.5832 12.4168 280.097 10.378 9.52457 279.923 10.3375 9.73929 
2.62 87.574 12.426 280.098 10.3795 9.52293 279.923 10.3387 9.73829 
2.63 87.5647 12.4353 280.098 10.381 9.52129 279.923 10.3399 9.7373 
2.64 87.5555 12.4445 280.098 10.3825 9.51965 279.923 10.3411 9.7363 
2.65 87.5462 12.4538 280.098 10.3841 9.51801 279.922 10.3423 9.7353 
2.66 87.537 12.463 280.098 10.3856 9.51637 279.922 10.3436 9.73431 
2.67 87.5277 12.4723 280.098 10.3871 9.51474 279.922 10.3448 9.73331 
2.68 87.5184 12.4816 280.098 10.3886 9.5131 279.922 10.346 9.73231 
2.69 87.5092 12.4908 280.098 10.3902 9.51147 279.921 10.3472 9.73132 
2.7 87.4999 12.5001 280.098 10.3917 9.50984 279.921 10.3484 9.73032 
2.71 87.4907 12.5093 280.099 10.3932 9.50821 279.921 10.3496 9.72932 
2.72 87.4814 12.5186 280.099 10.3948 9.50658 279.921 10.3508 9.72833 
2.73 87.4722 12.5278 280.099 10.3963 9.50495 279.921 10.352 9.72733 
2.74 87.4629 12.5371 280.099 10.3978 9.50333 279.92 10.3533 9.72633 
2.75 87.4537 12.5463 280.099 10.3993 9.5017 279.92 10.3545 9.72534 
2.76 87.4444 12.5556 280.099 10.4009 9.50008 279.92 10.3557 9.72434 
2.77 87.4351 12.5649 280.099 10.4024 9.49846 279.92 10.3569 9.72334 
2.78 87.4259 12.5741 280.099 10.4039 9.49683 279.92 10.3581 9.72235 
2.79 87.4166 12.5834 280.099 10.4055 9.49521 279.919 10.3593 9.72135 
2.8 87.4074 12.5926 280.099 10.407 9.4936 279.919 10.3605 9.72035 
2.81 87.3981 12.6019 280.099 10.4085 9.49198 279.919 10.3617 9.71936 
2.82 87.3889 12.6111 280.1 10.4101 9.49036 279.919 10.3629 9.71836 
2.83 87.3796 12.6204 280.1 10.4116 9.48875 279.919 10.3641 9.71737 
2.84 87.3703 12.6297 280.1 10.4131 9.48714 279.918 10.3653 9.71637 
2.85 87.3611 12.6389 280.1 10.4147 9.48553 279.918 10.3665 9.71537 
2.86 87.3518 12.6482 280.1 10.4162 9.48392 279.918 10.3677 9.71438 
2.87 87.3426 12.6574 280.1 10.4178 9.48231 279.918 10.3689 9.71338 
2.88 87.3333 12.6667 280.1 10.4193 9.4807 279.917 10.3701 9.71238 
2.89 87.3241 12.6759 280.1 10.4208 9.4791 279.917 10.3713 9.71139 
2.9 87.3148 12.6852 280.1 10.4224 9.47749 279.917 10.3725 9.71039 
2.91 87.3056 12.6944 280.1 10.4239 9.47589 279.917 10.3737 9.7094 
2.92 87.2963 12.7037 280.1 10.4254 9.47429 279.917 10.3749 9.7084 
2.93 87.287 12.713 280.1 10.427 9.47269 279.916 10.3761 9.7074 
2.94 87.2778 12.7222 280.1 10.4285 9.47109 279.916 10.3773 9.70641 
2.95 87.2685 12.7315 280.1 10.4301 9.46949 279.916 10.3785 9.70541 
2.96 87.2593 12.7407 280.1 10.4316 9.46789 279.916 10.3797 9.70441 
2.97 87.25 12.75 280.101 10.4332 9.4663 279.916 10.3809 9.70342 
2.98 87.2408 12.7592 280.101 10.4347 9.4647 279.915 10.3821 9.70242 
2.99 87.2315 12.7685 280.101 10.4362 9.46311 279.915 10.3833 9.70143 
3 87.2222 12.7778 280.101 10.4378 9.46152 279.915 10.3845 9.70043 
3.01 87.213 12.787 280.101 10.4393 9.45993 279.915 10.3857 9.69943 
3.02 87.2037 12.7963 280.101 10.4409 9.45834 279.915 10.3869 9.69844 
3.03 87.1945 12.8055 280.101 10.4424 9.45676 279.914 10.3881 9.69744 
3.04 87.1852 12.8148 280.101 10.444 9.45517 279.914 10.3893 9.69645 
3.05 87.176 12.824 280.101 10.4455 9.45359 279.914 10.3905 9.69545 
3.06 87.1667 12.8333 280.101 10.4471 9.452 279.914 10.3917 9.69446 
3.07 87.1574 12.8426 280.101 10.4486 9.45042 279.914 10.3929 9.69346 
3.08 87.1482 12.8518 280.101 10.4502 9.44884 279.913 10.3941 9.69246 
3.09 87.1389 12.8611 280.101 10.4517 9.44726 279.913 10.3953 9.69147 
3.1 87.1297 12.8703 280.101 10.4533 9.44569 279.913 10.3965 9.69047 
3.11 87.1204 12.8796 280.101 10.4548 9.44411 279.913 10.3976 9.68948 
3.12 87.1112 12.8888 280.101 10.4564 9.44254 279.913 10.3988 9.68848 
3.13 87.1019 12.8981 280.101 10.4579 9.44096 279.912 10.4 9.68749 
3.14 87.0926 12.9074 280.101 10.4595 9.43939 279.912 10.4012 9.68649 
3.15 87.0834 12.9166 280.101 10.461 9.43782 279.912 10.4024 9.68549 
3.16 87.0741 12.9259 280.101 10.4626 9.43625 279.912 10.4036 9.6845 
3.17 87.0649 12.9351 280.101 10.4641 9.43468 279.912 10.4048 9.6835 
3.18 87.0556 12.9444 280.101 10.4657 9.43312 279.912 10.406 9.68251 
3.19 87.0464 12.9536 280.101 10.4672 9.43155 279.911 10.4071 9.68151 
3.2 87.0371 12.9629 280.101 10.4688 9.42999 279.911 10.4083 9.68052 
3.21 87.0278 12.9722 280.101 10.4704 9.42843 279.911 10.4095 9.67952 
3.22 87.0186 12.9814 280.101 10.4719 9.42687 279.911 10.4107 9.67853 
3.23 87.0093 12.9907 280.101 10.4735 9.42531 279.911 10.4119 9.67753 
3.24 87.0001 12.9999 280.101 10.475 9.42375 279.91 10.4131 9.67653 
3.25 86.9908 13.0092 280.101 10.4766 9.42219 279.91 10.4142 9.67554 
3.26 86.9816 13.0184 280.101 10.4781 9.42064 279.91 10.4154 9.67454 
