#t MKKK MKKK_P MKK MKK_P MKK_PP MAPK MAPK_P MAPK_PP 
##CONCENTRATIONS
83 19.6502 80.3498 221.29 38.4959 40.2142 265.861 20.9999 13.1389 
84 19.212 80.788 219.944 38.9374 41.1181 265.191 21.3099 13.4986 
85 18.7897 81.2103 218.591 39.3775 42.0311 264.502 21.6259 13.8719 
86 18.383 81.617 217.231 39.816 42.953 263.793 21.9478 14.2591 
87 17.9919 82.0081 215.864 40.2528 43.8835 263.064 22.2755 14.6604 
88 17.6161 82.3839 214.49 40.6878 44.8223 262.315 22.609 15.0761 
89 17.2553 82.7447 213.11 41.121 45.7691 261.545 22.9482 15.5065 
90 16.9094 83.0906 211.724 41.5522 46.7239 260.755 23.293 15.9518 
91 16.578 83.422 210.332 41.9814 47.6862 259.944 23.6433 16.4123 
92 16.261 83.739 208.936 42.4085 48.6558 259.113 23.9991 16.8882 
93 15.958 84.042 207.534 42.8334 49.6325 258.26 24.3601 17.3798 
94 15.6688 84.3312 206.128 43.256 50.6161 257.386 24.7264 17.8874 
95 15.393 84.607 204.717 43.6763 51.6062 256.491 25.0978 18.4112 
96 15.1303 84.8697 203.303 44.0943 52.6027 255.574 25.4742 18.9515 
97 14.8805 85.1195 201.885 44.5098 53.6053 254.636 25.8555 19.5085 
98 14.6432 85.3568 200.463 44.9228 54.6138 253.676 26.2416 20.0825 
99 14.4181 85.5819 199.039 45.3333 55.6279 252.694 26.6323 20.6737 
100 14.2049 85.7951 197.611 45.7411 56.6475 251.69 27.0276 21.2823 
##CONCENTRATIONS
#t MKKK MKKK_P MKK MKK_P MKK_PP MAPK MAPK_P MAPK_PP 


