### RESULTS 
### Printing All Results 
## Printing Variable Compartment time courses
## No Values.
## Printing Species time courses
#t x1 x2 x3 y1 y2 y3 
75 0.312487 0.1807 0.033101 0.326896 0.165052 0.0341488 
76 0.326208 0.16543 0.0343582 0.339224 0.150551 0.0358321 
77 0.338474 0.150985 0.0360602 0.349981 0.136982 0.0379972 
78 0.349187 0.137453 0.0382494 0.359101 0.124396 0.0406972 
79 0.35828 0.124886 0.0409775 0.366548 0.112812 0.0439955 
80 0.365709 0.113309 0.0443077 0.372298 0.102227 0.0479634 
81 0.37145 0.10272 0.0483122 0.376341 0.0926176 0.0526804 
82 0.375488 0.0930966 0.0530702 0.378672 0.0839452 0.0582335 
83 0.377816 0.0844038 0.0586679 0.379286 0.0761621 0.0647149 
84 0.378429 0.0765961 0.0651952 0.378182 0.0692143 0.0722184 
85 0.377324 0.0696212 0.0727433 0.375358 0.0630449 0.0808324 
86 0.3745 0.0634237 0.0813983 0.370815 0.0575965 0.0906346 
87 0.36996 0.0579475 0.091235 0.364565 0.052814 0.101684 
88 0.363718 0.0531379 0.102307 0.356632 0.0486443 0.11401 
89 0.355803 0.0489427 0.114641 0.347065 0.0450384 0.127605 
90 0.346266 0.0453132 0.128223 0.335942 0.0419519 0.142414 
91 0.335188 0.0422054 0.142997 0.323375 0.0393451 0.158333 
92 0.322683 0.03958 0.158852 0.309513 0.037184 0.175199 
93 0.308903 0.0374028 0.17563 0.294546 0.0354397 0.1928 
94 0.294034 0.0356451 0.193121 0.278694 0.0340893 0.210882 
95 0.278296 0.0342843 0.211071 0.262205 0.0331157 0.229156 
96 0.261931 0.0333033 0.2292 0.245341 0.032508 0.247319 
97 0.245196 0.0326912 0.247214 0.228364 0.0322617 0.265069 
98 0.228347 0.0324439 0.264818 0.211525 0.032379 0.282121 
99 0.211629 0.0325637 0.281733 0.195052 0.0328697 0.298219 
100 0.195264 0.0330604 0.297711 0.179142 0.0337508 0.313148 
## Printing Variable Parameter time courses
## No Values.
## Printing Reaction Flux time courses
## No Values.
